Nama Barang,Jenis,Stok,Harga
Intel Core i5-9400F Processor,CPU,15,1699000
Corsair Vengeance LPX 16GB RAM,RAM,20,799000
Samsung 970 EVO Plus 500GB SSD,Storage,12,1499000
ASUS Prime B450M-A/CSM Motherboard,Mobo,8,1285000
Logitech G Pro X Mechanical Keyboard,Peripheral,25,1890000
Seagate Barracuda 2TB HDD,Storage,10,849000
AMD Radeon RX 6700 XT GPU,GPU,7,6599000
NZXT H510i Compact ATX Mid-Tower Case,Case,15,1899000
Intel Core i7-10700K Processor,CPU,10,2499000
G.SKILL Trident Z RGB 32GB RAM,RAM,15,1599000
WD Black SN850 1TB NVMe SSD,Storage,8,2199000
Gigabyte B550 AORUS Elite Motherboard,Mobo,12,1899000
Logitech G Pro X Mechanical Keyboard,Peripheral,18,2590000
Western Digital Blue 4TB HDD,Storage,5,1099000
NVIDIA GeForce RTX 3060 Ti GPU,GPU,10,5499000
Fractal Design Meshify C ATX Case,Case,20,1499000
AMD Ryzen 9 5900X Processor,CPU,7,4399000
Corsair Vengeance LPX 64GB RAM,RAM,25,2999000
Samsung 980 PRO 2TB NVMe SSD,Storage,10,3599000
MSI MAG B550 TOMAHAWK Motherboard,Mobo,15,2199000
Logitech MX Master 3 Wireless Mouse,Peripheral,30,899000
Seagate FireCuda Gaming 2TB SSHD,Storage,8,1199000
ASUS ROG Strix RTX 3090 GPU,GPU,3,9999000
NZXT H710i ATX Mid-Tower Case,Case,12,1999000
AMD Ryzen 5 5600X Processor,CPU,20,1899000
HyperX Fury RGB 16GB RAM,RAM,18,899000
Crucial P5 1TB NVMe SSD,Storage,6,1299000
Gigabyte Z590 AORUS PRO AX Motherboard,Mobo,8,2599000
AMD Ryzen 7 5800X Processor,CPU,10,3199000
Kingston HyperX Predator 32GB RAM,RAM,15,1699000
Samsung 870 EVO 1TB SATA SSD,Storage,12,999000
MSI B450 TOMAHAWK MAX Motherboard,Mobo,8,1399000
Corsair K95 RGB Platinum XT Keyboard,Peripheral,20,2899000
Seagate Expansion 5TB External HDD,Storage,5,1499000
NVIDIA GeForce GTX 1660 Super GPU,GPU,10,3499000
NZXT Kraken X73 RGB AIO Cooler,Cooling,15,1899000
Intel Core i9-11900K Processor,CPU,7,5299000
Crucial Ballistix RGB 64GB RAM,RAM,25,2599000
WD Blue SN550 500GB NVMe SSD,Storage,10,799000
ASRock B550M-ITX/ac Mini-ITX Mobo,Mobo,15,1899000
Logitech G502 HERO Gaming Mouse,Peripheral,18,1299000
Toshiba X300 8TB 7200 RPM HDD,Storage,8,2399000
EVGA GeForce RTX 3070 GPU,GPU,3,7899000
